"FREQUENC","GEO","TIME","DEG_URB","SEX","AGE","UNIT","Value","Flag and Footnotes"
"Every day","Bulgaria","2014","Cities","Females","Total","Percentage","4.6",""
"Every day","Bulgaria","2014","Cities","Females","From 15 to 24 years","Percentage","0.8",""
"Every day","Bulgaria","2014","Cities","Females","From 25 to 64 years","Percentage","6.2",""
"Every day","Bulgaria","2014","Cities","Females","65 years or over","Percentage","1.6",""
"Every day","Czechia","2014","Cities","Total","Total","Percentage","8.9",""
"Every day","Czechia","2014","Cities","Total","From 15 to 24 years","Percentage","2.0",""
"Every day","Czechia","2014","Cities","Total","From 25 to 64 years","Percentage","8.4",""
"Every day","Czechia","2014","Cities","Total","65 years or over","Percentage","12.6",""
"Every day","Czechia","2014","Cities","Males","Total","Percentage","14.7",""
"Every day","Czechia","2014","Cities","Males","From 15 to 24 years","Percentage","3.4",""
"Every day","Czechia","2014","Cities","Males","From 25 to 64 years","Percentage","14.9",""
"Every day","Czechia","2014","Cities","Males","65 years or over","Percentage","20.5",""
"Every day","Czechia","2014","Cities","Females","Total","Percentage","3.7",""
"Every day","Czechia","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Czechia","2014","Cities","Females","From 25 to 64 years","Percentage","2.8",""
"Every day","Czechia","2014","Cities","Females","65 years or over","Percentage","6.9",""
"Every day","Denmark","2014","Cities","Total","Total","Percentage","10.1",""
"Every day","Denmark","2014","Cities","Total","From 15 to 24 years","Percentage","1.1",""
"Every day","Denmark","2014","Cities","Total","From 25 to 64 years","Percentage","7.2",""
"Every day","Denmark","2014","Cities","Total","65 years or over","Percentage","29.0",""
"Every day","Denmark","2014","Cities","Males","Total","Percentage","12.1",""
"Every day","Denmark","2014","Cities","Males","From 15 to 24 years","Percentage","2.2",""
"Every day","Denmark","2014","Cities","Males","From 25 to 64 years","Percentage","10.0",""
"Every day","Denmark","2014","Cities","Males","65 years or over","Percentage","33.5",""
"Every day","Denmark","2014","Cities","Females","Total","Percentage","8.1",""
"Every day","Denmark","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Denmark","2014","Cities","Females","From 25 to 64 years","Percentage","4.4",""
"Every day","Denmark","2014","Cities","Females","65 years or over","Percentage","26.0",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Total","Total","Percentage","9.4",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Total","From 15 to 24 years","Percentage","1.0",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Total","From 25 to 64 years","Percentage","8.9",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Total","65 years or over","Percentage","15.4",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Males","Total","Percentage","12.7",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Males","From 15 to 24 years","Percentage","1.7",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Males","From 25 to 64 years","Percentage","11.7",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Males","65 years or over","Percentage","23.1",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Females","Total","Percentage","6.3",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Females","From 15 to 24 years","Percentage","0.3",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Females","From 25 to 64 years","Percentage","6.1",""
"Every day","Germany (until 1990 former territory of the FRG)","2014","Cities","Females","65 years or over","Percentage","9.8",""
"Every day","Estonia","2014","Cities","Total","Total","Percentage","1.5",""
"Every day","Estonia","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Estonia","2014","Cities","Total","From 25 to 64 years","Percentage","1.8",""
"Every day","Estonia","2014","Cities","Total","65 years or over","Percentage","1.6",""
"Every day","Estonia","2014","Cities","Males","Total","Percentage","3.1",""
"Every day","Estonia","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Estonia","2014","Cities","Males","From 25 to 64 years","Percentage","3.5",""
"Every day","Estonia","2014","Cities","Males","65 years or over","Percentage","4.7",""
"Every day","Estonia","2014","Cities","Females","Total","Percentage","0.1",""
"Every day","Estonia","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Estonia","2014","Cities","Females","From 25 to 64 years","Percentage","0.1",""
"Every day","Estonia","2014","Cities","Females","65 years or over","Percentage","0",""
"Every day","Ireland","2014","Cities","Total","Total","Percentage","2.4",""
"Every day","Ireland","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Ireland","2014","Cities","Total","From 25 to 64 years","Percentage","1.8",""
"Every day","Ireland","2014","Cities","Total","65 years or over","Percentage","6.9",""
"Every day","Ireland","2014","Cities","Males","Total","Percentage","3.3",""
"Every day","Ireland","2014","Cities","Males","From 15 to 24 years","Percentage","0","u"
"Every day","Ireland","2014","Cities","Males","From 25 to 64 years","Percentage","2.5",""
"Every day","Ireland","2014","Cities","Males","65 years or over","Percentage","9.9",""
"Every day","Ireland","2014","Cities","Females","Total","Percentage","1.5",""
"Every day","Ireland","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Ireland","2014","Cities","Females","From 25 to 64 years","Percentage","1.1",""
"Every day","Ireland","2014","Cities","Females","65 years or over","Percentage","4.3",""
"Every day","Greece","2014","Cities","Total","Total","Percentage","5.1",""
"Every day","Greece","2014","Cities","Total","From 15 to 24 years","Percentage","0.3",""
"Every day","Greece","2014","Cities","Total","From 25 to 64 years","Percentage","4.0",""
"Every day","Greece","2014","Cities","Total","65 years or over","Percentage","11.0",""
"Every day","Greece","2014","Cities","Males","Total","Percentage","8.0",""
"Every day","Greece","2014","Cities","Males","From 15 to 24 years","Percentage","0.3",""
"Every day","Greece","2014","Cities","Males","From 25 to 64 years","Percentage","6.4",""
"Every day","Greece","2014","Cities","Males","65 years or over","Percentage","19.0",""
"Every day","Greece","2014","Cities","Females","Total","Percentage","2.5",""
"Every day","Greece","2014","Cities","Females","From 15 to 24 years","Percentage","0.3",""
"Every day","Greece","2014","Cities","Females","From 25 to 64 years","Percentage","1.8",""
"Every day","Greece","2014","Cities","Females","65 years or over","Percentage","5.2",""
"Every day","Spain","2014","Cities","Total","Total","Percentage","14.3",""
"Every day","Spain","2014","Cities","Total","From 15 to 24 years","Percentage","1.3",""
"Every day","Spain","2014","Cities","Total","From 25 to 64 years","Percentage","13.3",""
"Every day","Spain","2014","Cities","Total","65 years or over","Percentage","25.4",""
"Every day","Spain","2014","Cities","Males","Total","Percentage","21.4",""
"Every day","Spain","2014","Cities","Males","From 15 to 24 years","Percentage","2.6",""
"Every day","Spain","2014","Cities","Males","From 25 to 64 years","Percentage","19.5",""
"Every day","Spain","2014","Cities","Males","65 years or over","Percentage","42.6",""
"Every day","Spain","2014","Cities","Females","Total","Percentage","7.8",""
"Every day","Spain","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Spain","2014","Cities","Females","From 25 to 64 years","Percentage","7.3",""
"Every day","Spain","2014","Cities","Females","65 years or over","Percentage","13.0",""
"Every day","Croatia","2014","Cities","Total","Total","Percentage","6.1",""
"Every day","Croatia","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Croatia","2014","Cities","Total","From 25 to 64 years","Percentage","4.9",""
"Every day","Croatia","2014","Cities","Total","65 years or over","Percentage","12.3",""
"Every day","Croatia","2014","Cities","Males","Total","Percentage","10.1",""
"Every day","Croatia","2014","Cities","Males","From 15 to 24 years","Percentage","0","u"
"Every day","Croatia","2014","Cities","Males","From 25 to 64 years","Percentage","8.2",""
"Every day","Croatia","2014","Cities","Males","65 years or over","Percentage","20.9",""
"Every day","Croatia","2014","Cities","Females","Total","Percentage","3.1",""
"Every day","Croatia","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Croatia","2014","Cities","Females","From 25 to 64 years","Percentage","2.2",""
"Every day","Croatia","2014","Cities","Females","65 years or over","Percentage","6.7",""
"Every day","Italy","2014","Cities","Total","Total","Percentage","13.9","d"
"Every day","Italy","2014","Cities","Total","From 15 to 24 years","Percentage","0.9","d"
"Every day","Italy","2014","Cities","Total","From 25 to 64 years","Percentage","10.9","d"
"Every day","Italy","2014","Cities","Total","65 years or over","Percentage","26.1","d"
"Every day","Italy","2014","Cities","Males","Total","Percentage","19.7","d"
"Every day","Italy","2014","Cities","Males","From 15 to 24 years","Percentage","1.5","d"
"Every day","Italy","2014","Cities","Males","From 25 to 64 years","Percentage","16.2","d"
"Every day","Italy","2014","Cities","Males","65 years or over","Percentage","37.7","d"
"Every day","Italy","2014","Cities","Females","Total","Percentage","8.9","d"
"Every day","Italy","2014","Cities","Females","From 15 to 24 years","Percentage","0.3","d"
"Every day","Italy","2014","Cities","Females","From 25 to 64 years","Percentage","6.3","d"
"Every day","Italy","2014","Cities","Females","65 years or over","Percentage","17.5","d"
"Every day","Cyprus","2014","Cities","Total","Total","Percentage","4.0",""
"Every day","Cyprus","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Cyprus","2014","Cities","Total","From 25 to 64 years","Percentage","3.8",""
"Every day","Cyprus","2014","Cities","Total","65 years or over","Percentage","8.1",""
"Every day","Cyprus","2014","Cities","Males","Total","Percentage","7.4",""
"Every day","Cyprus","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Cyprus","2014","Cities","Males","From 25 to 64 years","Percentage","7.1",""
"Every day","Cyprus","2014","Cities","Males","65 years or over","Percentage","15.6",""
"Every day","Cyprus","2014","Cities","Females","Total","Percentage","1.0",""
"Every day","Cyprus","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Cyprus","2014","Cities","Females","From 25 to 64 years","Percentage","1.0",""
"Every day","Cyprus","2014","Cities","Females","65 years or over","Percentage","1.9",""
"Every day","Latvia","2014","Cities","Total","Total","Percentage","1.5",""
"Every day","Latvia","2014","Cities","Total","From 15 to 24 years","Percentage","0.6",""
"Every day","Latvia","2014","Cities","Total","From 25 to 64 years","Percentage","1.6",""
"Every day","Latvia","2014","Cities","Total","65 years or over","Percentage","1.5",""
"Every day","Latvia","2014","Cities","Males","Total","Percentage","2.9",""
"Every day","Latvia","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Latvia","2014","Cities","Males","From 25 to 64 years","Percentage","2.9",""
"Every day","Latvia","2014","Cities","Males","65 years or over","Percentage","4.6",""
"Every day","Latvia","2014","Cities","Females","Total","Percentage","0.5",""
"Every day","Latvia","2014","Cities","Females","From 15 to 24 years","Percentage","1.2",""
"Every day","Latvia","2014","Cities","Females","From 25 to 64 years","Percentage","0.5",""
"Every day","Latvia","2014","Cities","Females","65 years or over","Percentage","0.1",""
"Every day","Lithuania","2014","Cities","Total","Total","Percentage","0.5",""
"Every day","Lithuania","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Lithuania","2014","Cities","Total","From 25 to 64 years","Percentage","0.5",""
"Every day","Lithuania","2014","Cities","Total","65 years or over","Percentage","0.7",""
"Every day","Lithuania","2014","Cities","Males","Total","Percentage","1.0",""
"Every day","Lithuania","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Lithuania","2014","Cities","Males","From 25 to 64 years","Percentage","0.9",""
"Every day","Lithuania","2014","Cities","Males","65 years or over","Percentage","2.3",""
"Every day","Lithuania","2014","Cities","Females","Total","Percentage","0.1",""
"Every day","Lithuania","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Lithuania","2014","Cities","Females","From 25 to 64 years","Percentage","0.2",""
"Every day","Lithuania","2014","Cities","Females","65 years or over","Percentage","0",""
"Every day","Luxembourg","2014","Cities","Total","Total","Percentage","10.0",""
"Every day","Luxembourg","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Luxembourg","2014","Cities","Total","From 25 to 64 years","Percentage","8.0",""
"Every day","Luxembourg","2014","Cities","Total","65 years or over","Percentage","25.9",""
"Every day","Luxembourg","2014","Cities","Males","Total","Percentage","12.7",""
"Every day","Luxembourg","2014","Cities","Males","From 15 to 24 years","Percentage","0","u"
"Every day","Luxembourg","2014","Cities","Males","From 25 to 64 years","Percentage","9.9",""
"Every day","Luxembourg","2014","Cities","Males","65 years or over","Percentage","37.5",""
"Every day","Luxembourg","2014","Cities","Females","Total","Percentage","7.1",""
"Every day","Luxembourg","2014","Cities","Females","From 15 to 24 years","Percentage","0","u"
"Every day","Luxembourg","2014","Cities","Females","From 25 to 64 years","Percentage","5.8",""
"Every day","Luxembourg","2014","Cities","Females","65 years or over","Percentage","16.3","u"
"Every day","Hungary","2014","Cities","Total","Total","Percentage","7.0",""
"Every day","Hungary","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Hungary","2014","Cities","Total","From 25 to 64 years","Percentage","5.6",""
"Every day","Hungary","2014","Cities","Total","65 years or over","Percentage","14.9",""
"Every day","Hungary","2014","Cities","Males","Total","Percentage","11.7",""
"Every day","Hungary","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Hungary","2014","Cities","Males","From 25 to 64 years","Percentage","9.1",""
"Every day","Hungary","2014","Cities","Males","65 years or over","Percentage","29.9",""
"Every day","Hungary","2014","Cities","Females","Total","Percentage","3.0",""
"Every day","Hungary","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Hungary","2014","Cities","Females","From 25 to 64 years","Percentage","2.4",""
"Every day","Hungary","2014","Cities","Females","65 years or over","Percentage","5.8",""
"Every day","Malta","2014","Cities","Total","Total","Percentage","5.3",""
"Every day","Malta","2014","Cities","Total","From 15 to 24 years","Percentage","0.6",""
"Every day","Malta","2014","Cities","Total","From 25 to 64 years","Percentage","5.1",""
"Every day","Malta","2014","Cities","Total","65 years or over","Percentage","9.1",""
"Every day","Malta","2014","Cities","Males","Total","Percentage","7.9",""
"Every day","Malta","2014","Cities","Males","From 15 to 24 years","Percentage","1.1",""
"Every day","Malta","2014","Cities","Males","From 25 to 64 years","Percentage","7.1",""
"Every day","Malta","2014","Cities","Males","65 years or over","Percentage","16.5",""
"Every day","Malta","2014","Cities","Females","Total","Percentage","2.7",""
"Every day","Malta","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Malta","2014","Cities","Females","From 25 to 64 years","Percentage","3.0",""
"Every day","Malta","2014","Cities","Females","65 years or over","Percentage","3.4",""
"Every day","Austria","2014","Cities","Total","Total","Percentage","6.3",""
"Every day","Austria","2014","Cities","Total","From 15 to 24 years","Percentage","0.2",""
"Every day","Austria","2014","Cities","Total","From 25 to 64 years","Percentage","4.7",""
"Every day","Austria","2014","Cities","Total","65 years or over","Percentage","15.4",""
"Every day","Austria","2014","Cities","Males","Total","Percentage","9.3",""
"Every day","Austria","2014","Cities","Males","From 15 to 24 years","Percentage","0.5",""
"Every day","Austria","2014","Cities","Males","From 25 to 64 years","Percentage","7.3",""
"Every day","Austria","2014","Cities","Males","65 years or over","Percentage","24.7",""
"Every day","Austria","2014","Cities","Females","Total","Percentage","3.7",""
"Every day","Austria","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Austria","2014","Cities","Females","From 25 to 64 years","Percentage","2.3",""
"Every day","Austria","2014","Cities","Females","65 years or over","Percentage","9.4",""
"Every day","Poland","2014","Cities","Total","Total","Percentage","2.1",""
"Every day","Poland","2014","Cities","Total","From 15 to 24 years","Percentage","1.0",""
"Every day","Poland","2014","Cities","Total","From 25 to 64 years","Percentage","2.4",""
"Every day","Poland","2014","Cities","Total","65 years or over","Percentage","1.7",""
"Every day","Poland","2014","Cities","Males","Total","Percentage","4.1",""
"Every day","Poland","2014","Cities","Males","From 15 to 24 years","Percentage","2.0",""
"Every day","Poland","2014","Cities","Males","From 25 to 64 years","Percentage","4.5",""
"Every day","Poland","2014","Cities","Males","65 years or over","Percentage","3.5",""
"Every day","Poland","2014","Cities","Females","Total","Percentage","0.5",""
"Every day","Poland","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Poland","2014","Cities","Females","From 25 to 64 years","Percentage","0.6",""
"Every day","Poland","2014","Cities","Females","65 years or over","Percentage","0.5",""
"Every day","Portugal","2014","Cities","Total","Total","Percentage","22.9",""
"Every day","Portugal","2014","Cities","Total","From 15 to 24 years","Percentage","0.0",""
"Every day","Portugal","2014","Cities","Total","From 25 to 64 years","Percentage","22.4",""
"Every day","Portugal","2014","Cities","Total","65 years or over","Percentage","36.7",""
"Every day","Portugal","2014","Cities","Males","Total","Percentage","36.2",""
"Every day","Portugal","2014","Cities","Males","From 15 to 24 years","Percentage","0.1",""
"Every day","Portugal","2014","Cities","Males","From 25 to 64 years","Percentage","36.2",""
"Every day","Portugal","2014","Cities","Males","65 years or over","Percentage","59.7",""
"Every day","Portugal","2014","Cities","Females","Total","Percentage","11.6",""
"Every day","Portugal","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Portugal","2014","Cities","Females","From 25 to 64 years","Percentage","10.1",""
"Every day","Portugal","2014","Cities","Females","65 years or over","Percentage","20.8",""
"Every day","Romania","2014","Cities","Total","Total","Percentage","2.2",""
"Every day","Romania","2014","Cities","Total","From 15 to 24 years","Percentage","0.1",""
"Every day","Romania","2014","Cities","Total","From 25 to 64 years","Percentage","2.5",""
"Every day","Romania","2014","Cities","Total","65 years or over","Percentage","2.6",""
"Every day","Romania","2014","Cities","Males","Total","Percentage","4.4",""
"Every day","Romania","2014","Cities","Males","From 15 to 24 years","Percentage","0.2",""
"Every day","Romania","2014","Cities","Males","From 25 to 64 years","Percentage","4.8",""
"Every day","Romania","2014","Cities","Males","65 years or over","Percentage","5.9",""
"Every day","Romania","2014","Cities","Females","Total","Percentage","0.3",""
"Every day","Romania","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Romania","2014","Cities","Females","From 25 to 64 years","Percentage","0.3",""
"Every day","Romania","2014","Cities","Females","65 years or over","Percentage","0.5",""
"Every day","Slovenia","2014","Cities","Total","Total","Percentage","7.2",""
"Every day","Slovenia","2014","Cities","Total","From 15 to 24 years","Percentage","0.8",""
"Every day","Slovenia","2014","Cities","Total","From 25 to 64 years","Percentage","6.7",""
"Every day","Slovenia","2014","Cities","Total","65 years or over","Percentage","12.9",""
"Every day","Slovenia","2014","Cities","Males","Total","Percentage","12.3",""
"Every day","Slovenia","2014","Cities","Males","From 15 to 24 years","Percentage","1.7",""
"Every day","Slovenia","2014","Cities","Males","From 25 to 64 years","Percentage","11.6",""
"Every day","Slovenia","2014","Cities","Males","65 years or over","Percentage","23.9",""
"Every day","Slovenia","2014","Cities","Females","Total","Percentage","2.8",""
"Every day","Slovenia","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Slovenia","2014","Cities","Females","From 25 to 64 years","Percentage","2.2",""
"Every day","Slovenia","2014","Cities","Females","65 years or over","Percentage","6.1",""
"Every day","Slovakia","2014","Cities","Total","Total","Percentage","3.2",""
"Every day","Slovakia","2014","Cities","Total","From 15 to 24 years","Percentage","0.4",""
"Every day","Slovakia","2014","Cities","Total","From 25 to 64 years","Percentage","3.4",""
"Every day","Slovakia","2014","Cities","Total","65 years or over","Percentage","4.7",""
"Every day","Slovakia","2014","Cities","Males","Total","Percentage","5.2",""
"Every day","Slovakia","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Slovakia","2014","Cities","Males","From 25 to 64 years","Percentage","5.2",""
"Every day","Slovakia","2014","Cities","Males","65 years or over","Percentage","10.3",""
"Every day","Slovakia","2014","Cities","Females","Total","Percentage","1.3",""
"Every day","Slovakia","2014","Cities","Females","From 15 to 24 years","Percentage","0.8",""
"Every day","Slovakia","2014","Cities","Females","From 25 to 64 years","Percentage","1.4",""
"Every day","Slovakia","2014","Cities","Females","65 years or over","Percentage","1.1",""
"Every day","Finland","2014","Cities","Total","Total","Percentage","2.2",""
"Every day","Finland","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Finland","2014","Cities","Total","From 25 to 64 years","Percentage","2.2",""
"Every day","Finland","2014","Cities","Total","65 years or over","Percentage","3.8",""
"Every day","Finland","2014","Cities","Males","Total","Percentage","2.7",""
"Every day","Finland","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Finland","2014","Cities","Males","From 25 to 64 years","Percentage","2.9",""
"Every day","Finland","2014","Cities","Males","65 years or over","Percentage","4.3",""
"Every day","Finland","2014","Cities","Females","Total","Percentage","1.8",""
"Every day","Finland","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Finland","2014","Cities","Females","From 25 to 64 years","Percentage","1.6",""
"Every day","Finland","2014","Cities","Females","65 years or over","Percentage","3.5",""
"Every day","Sweden","2014","Cities","Total","Total","Percentage","1.9",""
"Every day","Sweden","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Sweden","2014","Cities","Total","From 25 to 64 years","Percentage","1.5",""
"Every day","Sweden","2014","Cities","Total","65 years or over","Percentage","4.2",""
"Every day","Sweden","2014","Cities","Males","Total","Percentage","2.5",""
"Every day","Sweden","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Sweden","2014","Cities","Males","From 25 to 64 years","Percentage","1.9",""
"Every day","Sweden","2014","Cities","Males","65 years or over","Percentage","5.4",""
"Every day","Sweden","2014","Cities","Females","Total","Percentage","1.4",""
"Every day","Sweden","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","Sweden","2014","Cities","Females","From 25 to 64 years","Percentage","0.9",""
"Every day","Sweden","2014","Cities","Females","65 years or over","Percentage","3.2",""
"Every day","United Kingdom","2014","Cities","Total","Total","Percentage","6.9",""
"Every day","United Kingdom","2014","Cities","Total","From 15 to 24 years","Percentage","0.0",""
"Every day","United Kingdom","2014","Cities","Total","From 25 to 64 years","Percentage","5.9",""
"Every day","United Kingdom","2014","Cities","Total","65 years or over","Percentage","13.6",""
"Every day","United Kingdom","2014","Cities","Males","Total","Percentage","9.5",""
"Every day","United Kingdom","2014","Cities","Males","From 15 to 24 years","Percentage","0.1",""
"Every day","United Kingdom","2014","Cities","Males","From 25 to 64 years","Percentage","8.2",""
"Every day","United Kingdom","2014","Cities","Males","65 years or over","Percentage","18.2",""
"Every day","United Kingdom","2014","Cities","Females","Total","Percentage","4.8",""
"Every day","United Kingdom","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
"Every day","United Kingdom","2014","Cities","Females","From 25 to 64 years","Percentage","3.9",""
"Every day","United Kingdom","2014","Cities","Females","65 years or over","Percentage","9.9",""
"Every day","Iceland","2014","Cities","Total","Total","Percentage","0.7",""
"Every day","Iceland","2014","Cities","Total","From 15 to 24 years","Percentage","0.2",""
"Every day","Iceland","2014","Cities","Total","From 25 to 64 years","Percentage","0.6",""
"Every day","Iceland","2014","Cities","Total","65 years or over","Percentage","1.7",""
"Every day","Iceland","2014","Cities","Males","Total","Percentage","1.2",""
"Every day","Iceland","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Iceland","2014","Cities","Males","From 25 to 64 years","Percentage","1.1",""
"Every day","Iceland","2014","Cities","Males","65 years or over","Percentage","2.6",""
"Every day","Iceland","2014","Cities","Females","Total","Percentage","0.3",""
"Every day","Iceland","2014","Cities","Females","From 15 to 24 years","Percentage","0.5",""
"Every day","Iceland","2014","Cities","Females","From 25 to 64 years","Percentage","0.1",""
"Every day","Iceland","2014","Cities","Females","65 years or over","Percentage","0.8",""
"Every day","Norway","2014","Cities","Total","Total","Percentage","3.2",""
"Every day","Norway","2014","Cities","Total","From 15 to 24 years","Percentage","0.3",""
"Every day","Norway","2014","Cities","Total","From 25 to 64 years","Percentage","2.5",""
"Every day","Norway","2014","Cities","Total","65 years or over","Percentage","9.6",""
"Every day","Norway","2014","Cities","Males","Total","Percentage","4.1",""
"Every day","Norway","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Norway","2014","Cities","Males","From 25 to 64 years","Percentage","3.8",""
"Every day","Norway","2014","Cities","Males","65 years or over","Percentage","9.9",""
"Every day","Norway","2014","Cities","Females","Total","Percentage","2.4",""
"Every day","Norway","2014","Cities","Females","From 15 to 24 years","Percentage","0.6",""
"Every day","Norway","2014","Cities","Females","From 25 to 64 years","Percentage","1.3",""
"Every day","Norway","2014","Cities","Females","65 years or over","Percentage","9.3",""
"Every day","Turkey","2014","Cities","Total","Total","Percentage","0",""
"Every day","Turkey","2014","Cities","Total","From 15 to 24 years","Percentage","0",""
"Every day","Turkey","2014","Cities","Total","From 25 to 64 years","Percentage","0",""
"Every day","Turkey","2014","Cities","Total","65 years or over","Percentage","0",""
"Every day","Turkey","2014","Cities","Males","Total","Percentage","0",""
"Every day","Turkey","2014","Cities","Males","From 15 to 24 years","Percentage","0",""
"Every day","Turkey","2014","Cities","Males","From 25 to 64 years","Percentage","0",""
"Every day","Turkey","2014","Cities","Males","65 years or over","Percentage","0",""
"Every day","Turkey","2014","Cities","Females","Total","Percentage","0",""
"Every day","Turkey","2014","Cities","Females","From 15 to 24 years","Percentage","0",""
