"","ID","Starost","Spol","Zaposlitev","Nastanitev","Prihranki","Velikost kredita","Trajanje","Namen","Ocena"
"35"," 34","33","ženska","3","lastno","malo"," 751","12","pohištvo/oprema","dober"
"36"," 35","25","moški","1","lastno","malo","2420","45","radio/TV","slab"
"37"," 36","31","moški","2","drugo","malo","3116","48","izobrazba","dober"
"38"," 37","37","moški","2","lastno","malo","1071","18","radio/TV","slab"
"39"," 38","37","moški","2","lastno","malo"," 624","10","gospodinjski aparati","dober"
"40"," 39","24","moški","2","lastno","malo"," 233"," 9","radio/TV","dober"
"41"," 40","30","moški","3","lastno","zelo veliko","1189","30","radio/TV","dober"
"42"," 41","26","moški","2","lastno","zelo veliko"," 590","12","radio/TV","dober"
"43"," 42","44","moški","1","lastno","malo","3164","18","popravila","dober"
"44"," 43","24","moški","2","najem","srednje","3155","30","avto","dober"
"45"," 44","58","ženska","1","drugo","malo","3132","48","avto","slab"
"46"," 45","35","ženska","3","lastno","malo"," 710","11","avto","dober"
"47"," 46","39","moški","2","lastno","zelo veliko","1172","36","radio/TV","dober"
"48"," 47","23","ženska","0","najem","zelo veliko"," 689"," 6","avto","dober"
"49"," 48","39","moški","1","lastno","malo","3686","11","avto","dober"
"50"," 49","28","ženska","2","lastno","srednje","1057","12","radio/TV","dober"
"51"," 50","29","moški","1","lastno",NA,"1189","24","pohištvo/oprema","dober"
"52"," 51","30","moški","3","lastno","malo","3042","27","avto","dober"
"53"," 52","25","moški","2","lastno","malo"," 643","12","radio/TV","dober"
"54"," 53","31","moški","2","lastno",NA,"1722","18","avto","dober"
"55"," 54","57","moški","2","drugo","malo","1134","36","avto","slab"
"56"," 55","26","moški","1","lastno",NA," 399"," 6","avto","dober"
"57"," 56","52","moški","3","lastno",NA,"3298","12","radio/TV","slab"
"58"," 57","31","ženska","2","lastno","malo","4878","36","radio/TV","dober"
"59"," 58","23","ženska","3","lastno","malo","1000","18","avto","dober"
"60"," 59","23","ženska","1","najem","malo","3176","36","pohištvo/oprema","slab"
"61"," 60","27","moški","2","lastno","malo"," 709"," 9","posel","dober"
"62"," 61","50","moški","2","lastno",NA," 783","15","radio/TV","dober"
"63"," 62","61","moški","3","drugo","malo"," 996","36","posel","slab"
"64"," 63","25","moški","2","lastno","malo","7354","48","posel","slab"
"65"," 64","26","ženska","2","lastno","malo","1622","24","radio/TV","dober"
"66"," 65","48","moški","2","lastno",NA,"2646","27","popravila","dober"
"67"," 66","29","ženska","2","lastno","malo","1107","12","radio/TV","dober"
"68"," 67","22","moški","2","lastno","veliko"," 513","12","avto","dober"
"69"," 68","37","moški","2","drugo","malo"," 927","36","izobrazba","slab"
"70"," 69","25","ženska","2","lastno",NA,"1220","36","radio/TV","dober"
"71"," 70","30","ženska","2","lastno","malo","4147","36","avto","dober"
"72"," 71","46","moški","1","najem",NA," 372"," 7","radio/TV","dober"
"73"," 72","51","moški","3","drugo","malo"," 593"," 8","drugo","dober"
"74"," 73","41","ženska","1","lastno","malo","3036","42","posel","dober"
"75"," 74","40","moški","3","lastno",NA,"1008","36","izobrazba","slab"
"76"," 75","66","moški","3","drugo","malo"," 778","12","avto","dober"
"77"," 76","34","moški","2","lastno","malo","2022","42","radio/TV","slab"
"78"," 77","51","moški","2","lastno","malo","2433","11","radio/TV","dober"
"79"," 78","39","moški","1","lastno",NA,"4812","54","avto","dober"
"80"," 79","22","moški","2","lastno","malo","1954","30","pohištvo/oprema","dober"
"81"," 80","44","ženska","2","lastno",NA,"3030","24","radio/TV","slab"
"82"," 81","47","moški","2","lastno","zelo veliko"," 618","15","radio/TV","dober"
"83"," 82","24","ženska","1","najem","srednje"," 799","18","posel","dober"
"84"," 83","58","ženska","1","lastno","malo"," 895","24","drugo","dober"
"85"," 84","52","moški","1","lastno","malo","1180","10","radio/TV","dober"
"86"," 85","29","ženska","3","lastno","malo"," 720","12","posel","dober"
"87"," 86","27","ženska","2","lastno","malo"," 660","18","pohištvo/oprema","dober"
"88"," 87","47","moški","2","drugo","srednje","6432","36","izobrazba","slab"
"89"," 88","30","moški","3","lastno","srednje","1146","18","avto","dober"
"90"," 89","28","moški","2","lastno","malo"," 565","12","popravila","slab"
"91"," 90","56","moški","2","lastno","malo"," 315","12","radio/TV","dober"
"92"," 91","54","moški","2","lastno","malo"," 718","12","avto","dober"
"93"," 92","33","ženska","1","lastno",NA," 406","12","radio/TV","slab"
"94"," 93","20","moški","2","najem",NA,"1844","24","pohištvo/oprema","dober"
"95"," 94","54","moški","2","lastno","veliko"," 672","12","avto","dober"
"96"," 95","58","moški","2","najem","malo","8131","54","posel","slab"
"97"," 96","61","ženska","2","lastno",NA,"1026","12","izobrazba","dober"
"98"," 97","34","moški","2","lastno","srednje","1337","18","posel","dober"
"99"," 98","36","moški","2","lastno","malo","1191","36","radio/TV","dober"
"100"," 99","36","moški","3","najem",NA,"3599","20","avto","dober"
"101","100","41","moški","1","najem","srednje"," 749","24","avto","dober"
"102","101","24","moški","2","najem","malo","1184","36","radio/TV","dober"
"103","102","24","ženska","2","lastno","malo"," 475"," 6","radio/TV","dober"
"104","103","35","moški","2","najem","malo"," 978"," 9","pohištvo/oprema","dober"
"105","104","26","moški","2","najem",NA,"1246","12","avto","dober"
"106","105","39","moški","3","lastno","malo","6088","24","drugo","slab"
"107","106","39","moški","3","lastno","malo","3293","18","avto","slab"
"108","107","32","moški","2","lastno","malo","3099","12","avto","dober"
"109","108","30","ženska","2","lastno",NA,"3937","24","pohištvo/oprema","dober"
"110","109","35","moški","2","lastno","zelo veliko"," 719","14","posel","dober"
"111","110","31","moški","2","lastno","srednje"," 738"," 6","posel","dober"
"112","111","23","ženska","2","najem","malo"," 199","15","izobrazba","dober"
"113","112","28","moški","1","najem","malo","3192","18","avto","dober"
"114","113","25","ženska","2","lastno","malo","4006","36","avto","slab"
"115","114","35","moški","2","lastno","zelo veliko"," 856","12","radio/TV","dober"
"116","115","47","moški","2","lastno",NA,"1824","48","radio/TV","dober"
"117","116","30","ženska","3","lastno",NA,"3658","42","radio/TV","slab"
"118","117","27","ženska","2","najem",NA,"1087","10","pohištvo/oprema","dober"
"119","118","23","ženska","2","lastno","zelo veliko","2183","33","pohištvo/oprema","slab"
"120","119","36","moški","3","lastno","zelo veliko","1206","12","avto","dober"
"121","120","25","ženska","2","lastno","malo"," 935","21","radio/TV","slab"
"122","121","41","ženska","3","najem","malo","1972","24","avto","dober"
"123","122","24","moški","1","najem","malo"," 901","12","pohištvo/oprema","dober"
"124","123","63","moški","2","drugo","malo"," 398","10","avto","dober"
"125","124","27","ženska","2","najem",NA," 981","18","pohištvo/oprema","slab"
"126","125","30","moški","2","lastno","malo","1081","12","avto","dober"
"127","126","40","moški","1","lastno","malo"," 357","12","radio/TV","dober"
"128","127","30","moški","2","lastno","malo"," 325","12","popravila","slab"
"129","128","34","moški","3","lastno","malo"," 948","12","avto","dober"
"130","129","29","ženska","2","lastno","malo","1784","12","avto","slab"
"131","130","24","ženska","2","lastno",NA,"4328","48","avto","dober"
"132","131","29","moški","2","lastno","malo","3512","36","izobrazba","slab"
"133","132","27","moški","1","lastno","malo","1381","15","pohištvo/oprema","dober"
"134","133","47","moški","2","drugo","malo","1011","18","pohištvo/oprema","dober"
"135","134","21","ženska","2","lastno","srednje","5173","60","radio/TV","dober"
"136","135","38","ženska","2","lastno",NA," 632","12","radio/TV","dober"
"137","136","27","moški","2","lastno","veliko","4392","27","avto","dober"
"138","137","66","moški","1","lastno","zelo veliko"," 390","12","radio/TV","slab"
"139","138","35","moški","2","lastno",NA,"1391","15","radio/TV","dober"
"140","139","44","ženska","1","najem","malo"," 959","12","radio/TV","dober"
"141","140","27","moški","0","lastno","veliko"," 361"," 6","avto","dober"
"142","141","30","ženska","3","lastno","malo","2445","36","radio/TV","dober"
"143","142","27","moški","3","lastno","malo","1742","27","radio/TV","dober"
"144","143","22","moški","2","lastno","malo","1255","18","pohištvo/oprema","slab"
"145","144","23","ženska","2","lastno","malo","1166","21","pohištvo/oprema","dober"
"146","145","30","moški","2","lastno","srednje","1818","48","posel","dober"
"147","146","39","ženska","2","lastno","malo"," 438"," 6","avto","dober"
"148","147","51","ženska","2","lastno","srednje"," 347","12","avto","dober"
"149","148","28","moški","2","lastno","malo","2739","36","pohištvo/oprema","dober"
"150","149","46","moški","2","lastno","veliko"," 806","18","radio/TV","dober"
"151","150","42","moški","2","drugo","srednje"," 686"," 6","radio/TV","dober"
"152","151","38","moški","2","lastno","malo"," 981","10","radio/TV","dober"
"153","152","24","moški","2","lastno","malo","2982","36","radio/TV","dober"
"154","153","29","ženska","2","najem","veliko","3956","24","avto","dober"
"155","154","36","moški","3","najem","srednje","3553","24","posel","dober"
"156","155","20","ženska","2","najem","malo"," 653","12","pohištvo/oprema","slab"
"157","156","48","moški","2","lastno","srednje"," 656"," 9","popravila","dober"
"158","157","45","moški","1","lastno","malo"," 172","12","izobrazba","dober"
"159","158","38","moški","2","lastno","srednje","1791","24","avto","dober"
"160","159","34","moški","1","lastno",NA," 967"," 6","radio/TV","dober"
"161","160","36","moški","2","lastno","srednje","1464","24","radio/TV","dober"
"162","161","30","ženska","2","lastno","malo"," 538","18","avto","dober"
"163","162","36","moški","2","lastno","zelo veliko"," 643","15","gospodinjski aparati","dober"
"164","163","70","moški","3","drugo","malo","3727","10","avto","dober"
"165","164","36","moški","2","lastno","zelo veliko"," 463","36","avto","dober"
"166","165","32","moški","2","lastno","zelo veliko","1518"," 6","pohištvo/oprema","dober"
"167","166","33","ženska","2","lastno","malo"," 576","18","pohištvo/oprema","slab"
"168","167","20","ženska","2","lastno","veliko"," 804","11","pohištvo/oprema","dober"
"169","168","25","ženska","2","najem","malo","2025","24","pohištvo/oprema","dober"
"170","169","31","moški","2","lastno","malo"," 986","24","posel","slab"
"171","170","33","moški","2","najem","malo"," 484","15","avto","slab"
"172","171","26","ženska","2","lastno","malo"," 389","12","pohištvo/oprema","dober"
"173","172","34","ženska","3","lastno","malo","1052","24","pohištvo/oprema","slab"
"174","173","33","moški","2","lastno","malo"," 721"," 8","radio/TV","dober"
"175","174","26","moški","2","lastno","malo","1741","21","izobrazba","slab"
"176","175","53","ženska","3","lastno",NA,"3817","30","avto","slab"
"177","176","42","moški","2","lastno","malo","1314","12","pohištvo/oprema","dober"
"178","177","52","moški","2","lastno","zelo veliko"," 172"," 6","radio/TV","dober"
"179","178","31","moški","3","najem","malo","1001","12","radio/TV","dober"
"180","179","65","moški","2","lastno","malo"," 291","21","avto","dober"
"181","180","28","moški","2","lastno","malo","4881","36","posel","slab"
"182","181","30","moški","3","lastno","malo","2272","36","posel","slab"
"183","182","40","moški","1","lastno",NA," 839","21","avto","slab"
"184","183","50","moški","2","lastno","veliko","1926","24","pohištvo/oprema","dober"
"185","184","36","moški","2","lastno","malo"," 450","18","avto","slab"
"186","185","31","moški","2","lastno","malo"," 693","15","radio/TV","dober"
"187","186","74","ženska","3","drugo","malo","2615"," 9","avto","slab"
"188","187","68","moški","0","drugo","malo"," 599","16","avto","dober"
"189","188","20","moški","2","lastno","srednje"," 343","12","radio/TV","slab"
"190","189","33","ženska","2","lastno","malo","1654","18","pohištvo/oprema","dober"
"191","190","54","moški","3","lastno","veliko","2341","24","posel","slab"
"192","191","34","moški","1","drugo","srednje","1960","48","posel","slab"
"193","192","36","moški","2","lastno","malo","1996","27","posel","slab"
"194","193","29","moški","2","najem","malo","1075"," 6","radio/TV","dober"
"195","194","21","moški","2","najem","srednje","1545","45","radio/TV","slab"
"196","195","34","ženska","3","lastno","malo"," 765"," 9","izobrazba","slab"
"197","196","28","ženska","2","lastno","malo"," 704"," 6","radio/TV","dober"
"198","197","27","ženska","2","najem","srednje"," 485","12","pohištvo/oprema","slab"
"199","198","36","moški","2","drugo",NA,"1407","24","avto","dober"
"200","199","40","moški","3","lastno","malo","2191","18","pohištvo/oprema","slab"
"201","200","52","moški","2","lastno","zelo veliko"," 477"," 9","izobrazba","dober"
"202","201","27","moški","1","lastno","malo"," 595","12","avto","dober"
"203","202","26","moški","2","lastno","malo","2609","27","posel","dober"
"204","203","21","moški","2","najem","malo"," 460","12","izobrazba","slab"
"205","204","38","moški","1","lastno","malo"," 762","12","avto","dober"
"206","205","38","moški","3","drugo","malo","5417","30","avto","dober"
"207","206","43","moški","2","lastno","malo"," 986","12","pohištvo/oprema","dober"
"208","207","26","moški","2","lastno","malo"," 726","12","gospodinjski aparati","dober"
"209","208","21","moški","1","lastno","malo","3349","24","posel","dober"
"210","209","55","moški","2","lastno","veliko"," 720","12","avto","dober"
"211","210","33","moški","2","lastno",NA,"1567"," 9","radio/TV","dober"
"212","211","45","ženska","1","lastno",NA,"1955","36","radio/TV","dober"
"213","212","50","moški","2","lastno","malo","2699","27","posel","slab"
"214","213","66","moški","3","lastno","malo"," 973","30","posel","slab"
"215","214","51","moški","2","lastno",NA,"1704","36","radio/TV","dober"
"216","215","39","ženska","1","lastno",NA," 475"," 6","izobrazba","dober"
"217","216","31","moški","2","lastno","malo","1583","18","posel","dober"
"218","217","23","moški","2","lastno","malo","1995","36","radio/TV","dober"
"219","218","24","moški","1","najem","malo","1540","24","pohištvo/oprema","dober"
"220","219","64","ženska","2","lastno","malo"," 695","10","avto","dober"
"221","220","26","moški","1","lastno","malo"," 318","12","radio/TV","dober"
"222","221","23","ženska","2","najem",NA," 612","12","izobrazba","dober"
"223","222","30","moški","2","lastno","malo"," 360","12","radio/TV","dober"
"224","223","32","moški","2","lastno",NA,"1518","24","posel","dober"
"225","224","30","moški","2","lastno","malo","2375","15","avto","dober"
"226","225","27","moški","2","lastno","malo","1332","36","popravila","dober"
"227","226","27","moški","2","lastno","veliko","5590","48","radio/TV","slab"
"228","227","53","moški","3","drugo","malo","4011","12","pohištvo/oprema","slab"
"229","228","22","moški","2","lastno","malo"," 753"," 9","radio/TV","slab"
"230","229","22","moški","2","drugo","malo","1605","24","pohištvo/oprema","dober"
"231","230","26","moški","2","lastno","malo","2147","36","radio/TV","slab"
"232","231","51","moški","1","drugo","zelo veliko","1278"," 9","avto","dober"
"233","232","35","moški","2","lastno","srednje","1091","12","radio/TV","dober"
"234","233","25","moški","1","lastno","malo"," 441","18","radio/TV","dober"
"235","234","42","moški","1","lastno","malo"," 787"," 4","radio/TV","dober"
"236","235","30","moški","3","lastno","malo"," 929","24","radio/TV","slab"
"237","236","23","moški","0","lastno",NA,"7423"," 6","avto","slab"
"238","237","61","moški","1","najem","srednje","1411","21","posel","slab"
"239","238","35","ženska","2","lastno","malo"," 658","12","radio/TV","dober"
"240","239","39","moški","2","lastno","malo","1286","30","radio/TV","dober"
"241","240","29","ženska","2","lastno",NA," 466","24","avto","slab"
"242","241","51","moški","2","lastno","malo"," 813"," 6","radio/TV","dober"
"243","242","24","moški","2","drugo","malo","2348","48","avto","slab"
"244","243","27","ženska","2","lastno","malo"," 604","12","posel","dober"
"245","244","35","ženska","1","lastno","zelo veliko","1757","12","izobrazba","dober"
"246","245","25","moški","2","lastno","malo"," 641","24","posel","dober"
"247","246","52","moški","2","lastno","malo"," 365","12","radio/TV","dober"
"248","247","35","moški","2","najem","srednje"," 614"," 6","avto","dober"
"249","248","26","moški","2","lastno","malo"," 981","24","pohištvo/oprema","dober"
"250","249","22","ženska","2","najem","malo"," 220","18","radio/TV","slab"
"251","250","39","ženska","1","lastno","veliko"," 339"," 6","avto","dober"
"252","251","46","ženska","1","lastno","malo","1148","12","pohištvo/oprema","dober"
"253","252","24","ženska","2","lastno","malo","1096","30","avto","slab"
"254","253","35","moški","2","lastno","srednje","2117","24","pohištvo/oprema","dober"
"255","254","24","moški","2","lastno",NA,"1035"," 9","pohištvo/oprema","dober"
"256","255","27","moški","1","lastno",NA,"3783","60","radio/TV","dober"
"257","256","35","moški","1","lastno","malo","1368","24","radio/TV","dober"
"258","257","29","moški","2","drugo","malo","1095","12","radio/TV","slab"
"259","258","23","ženska","2","lastno","srednje","1944","15","avto","dober"
"260","259","57","ženska","1","lastno","srednje"," 588","11","radio/TV","dober"
"261","260","27","moški","2","lastno","malo"," 845","12","pohištvo/oprema","dober"
"262","261","55","ženska","2","lastno","malo"," 817","24","radio/TV","dober"
"263","262","36","moški","3","drugo","malo","2704","18","avto","dober"
"264","263","57","ženska","1","drugo","malo","1401","12","izobrazba","dober"
"265","264","32","moški","1","lastno","malo"," 627","10","avto","dober"
"266","265","37","moški","2","lastno","malo"," 409","15","radio/TV","slab"
"267","266","36","moški","2","lastno",NA,"3215","36","posel","dober"
"268","267","38","ženska","2","lastno","malo"," 781","24","radio/TV","dober"
"269","268","45","moški","3","lastno","malo","4578","14","avto","slab"
"270","269","25","moški","2","lastno",NA," 509","24","radio/TV","dober"
"271","270","32","moški","2","lastno",NA,"1357","18","avto","dober"
"272","271","37","ženska","2","najem","zelo veliko"," 715","12","pohištvo/oprema","dober"
"273","272","36","moški","3","drugo",NA,"6206","48","avto","dober"
"274","273","28","moški","2","lastno","malo","1560","48","radio/TV","slab"
"275","274","34","moški","1","lastno","malo","6118","30","popravila","slab"
"276","275","32","moški","2","lastno","malo","1375"," 9","radio/TV","dober"
"277","276","26","ženska","2","lastno","malo","1226","18","radio/TV","dober"
"278","277","49","moški","1","lastno",NA," 643","12","pohištvo/oprema","dober"
"279","278","32","ženska","2","lastno","malo","2351"," 6","pohištvo/oprema","slab"
"280","279","29","moški","3","najem","srednje"," 969","24","radio/TV","dober"
"281","280","23","moški","2","najem","veliko","1717","15","avto","dober"
"282","281","50","moški","2","lastno","malo"," 802","12","pohištvo/oprema","dober"
"283","282","49","moški","1","lastno",NA," 736","18","radio/TV","dober"
"284","283","63","moški","2","lastno",NA," 775","15","pohištvo/oprema","dober"
"285","284","37","moški","2","lastno","srednje","1977","24","avto","dober"
"286","285","35","ženska","1","lastno","malo","5468","47","avto","dober"
"287","286","26","moški","2","lastno","malo","2441","48","avto","dober"
"288","287","31","moški","3","drugo","srednje","3866","48","drugo","dober"
"289","288","49","ženska","2","lastno","malo"," 556","12","radio/TV","dober"
"290","289","48","moški","2","lastno","malo"," 522","24","radio/TV","slab"
"291","290","26","moški","2","lastno","malo"," 548","12","posel","dober"
"292","291","28","moški","3","najem","malo","4792","36","avto","slab"
"293","292","44","ženska","3","drugo","malo","3273","24","avto","dober"
"294","293","56","moški","2","drugo","malo","2445","42","avto","dober"
"295","294","46","moški","3","lastno",NA,"3890","48","posel","dober"
"296","295","26","ženska","2","lastno","malo","5079","48","pohištvo/oprema","slab"
"297","296","20","ženska","2","najem",NA,"2384","12","avto","dober"
"298","297","45","moški","1","lastno",NA," 656","10","avto","dober"
"299","298","43","moški","2","lastno","malo","1282","18","pohištvo/oprema","dober"
"300","299","32","moški","2","lastno","veliko","1399","21","pohištvo/oprema","dober"
"301","300","54","ženska","0","lastno","malo"," 342"," 6","avto","dober"
"302","301","42","ženska","2","lastno","malo","1940","36","radio/TV","slab"
"303","302","37","moški","1","lastno",NA," 685","24","avto","slab"
"304","303","49","moški","2","lastno","malo"," 529","10","avto","dober"
"305","304","44","moški","2","drugo","zelo veliko","5164","48","avto","slab"
"306","305","33","moški","2","lastno","veliko"," 786"," 6","pohištvo/oprema","dober"
"307","306","24","ženska","1","najem",NA,"2453","30","avto","dober"
"308","307","33","moški","1","lastno","srednje"," 370","12","radio/TV","slab"
"309","308","24","ženska","2","lastno","malo"," 630"," 8","pohištvo/oprema","slab"
"310","309","22","moški","1","najem","malo"," 140"," 9","avto","dober"
"311","310","40","moški","0","drugo",NA,"2744","48","drugo","dober"
"312","311","25","moški","2","lastno","srednje","2810","24","pohištvo/oprema","dober"
"313","312","26","ženska","2","lastno","malo","1911","24","pohištvo/oprema","dober"
"314","313","25","moški","1","lastno","malo"," 349","12","avto","slab"
"315","314","29","moški","1","lastno",NA," 761"," 4","avto","dober"
"316","315","31","moški","2","lastno","malo","1400","36","pohištvo/oprema","slab"
"317","316","38","moški","1","lastno","malo"," 361","12","pohištvo/oprema","dober"
"318","317","48","ženska","1","lastno",NA,"2219","24","pohištvo/oprema","dober"
"319","318","32","moški","2","lastno","malo"," 357","12","izobrazba","dober"
"320","319","27","ženska","1","lastno","malo","1857","15","pohištvo/oprema","dober"
"321","320","28","moški","3","lastno","malo","2166","30","avto","slab"
"322","321","32","moški","2","lastno","malo"," 988","24","radio/TV","slab"
"323","322","34","moški","3","drugo","malo","1484","24","avto","dober"
"324","323","28","moški","2","lastno","veliko","1356","18","pohištvo/oprema","dober"
"325","324","36","ženska","2","lastno","malo"," 524","18","avto","dober"
"326","325","39","moški","1","lastno","malo","1732"," 8","avto","dober"
"327","326","49","moški","2","najem",NA,"2958","12","pohištvo/oprema","dober"
"328","327","34","ženska","2","lastno","veliko"," 777","24","avto","dober"
"329","328","31","moški","2","lastno","malo","2281","36","radio/TV","dober"
"330","329","28","moški","2","lastno","malo"," 544"," 6","radio/TV","dober"
"331","330","75","moški","3","drugo","malo","3373","24","avto","dober"
"332","331","30","ženska","2","lastno","srednje"," 950","18","izobrazba","slab"
"333","332","24","ženska","3","lastno","srednje","3778","60","avto","slab"
"334","333","24","ženska","1","najem","srednje","5910","48","avto","slab"
"335","334","23","moški","2","najem","malo","2096","24","pohištvo/oprema","slab"
"336","335","44","moški","3","najem","malo","1725"," 6","pohištvo/oprema","slab"
"337","336","23","ženska","1","lastno","malo","1071","13","radio/TV","dober"
"338","337","24","ženska","2","najem",NA," 650","15","gospodinjski aparati","slab"
"339","338","28","moški","2","lastno","malo","2126","24","pohištvo/oprema","dober"
"340","339","31","moški","1","lastno","malo"," 775","10","pohištvo/oprema","dober"
"341","340","24","ženska","2","drugo","malo","2928","24","izobrazba","dober"
"342","341","26","ženska","1","najem","malo","1835","21","pohištvo/oprema","dober"
"343","342","25","moški","2","najem","zelo veliko","1638","18","radio/TV","dober"
"344","343","33","moški","3","lastno","malo","2263","18","posel","dober"
"345","344","37","moški","1","lastno","malo","2013","10","avto","dober"
"346","345","43","ženska","1","lastno","malo"," 744","15","radio/TV","dober"
"347","346","23","moški","2","lastno","malo"," 449","13","radio/TV","dober"
"348","347","23","ženska","0","najem","zelo veliko","1916","24","radio/TV","dober"
"349","348","34","moški","1","lastno","srednje"," 888"," 6","posel","dober"
"350","349","32","moški","2","drugo","veliko"," 579"," 9","izobrazba","slab"
"351","350","23","ženska","2","najem","malo"," 630"," 9","gospodinjski aparati","dober"
"352","351","29","ženska","2","lastno","malo"," 489"," 9","pohištvo/oprema","slab"
"353","352","38","moški","3","lastno",NA,"1646","18","avto","dober"
"354","353","28","moški","2","najem","malo","3161","12","radio/TV","slab"
"355","354","46","moški","2","drugo","zelo veliko"," 370","10","izobrazba","dober"
"356","355","23","moški","1","lastno","malo"," 635","24","avto","slab"
"357","356","49","moški","2","lastno",NA,"1188","12","radio/TV","dober"
"358","357","26","moški","3","lastno","malo","2276","36","radio/TV","slab"
"359","358","28","moški","2","lastno","malo"," 395","12","radio/TV","dober"
"360","359","23","ženska","2","najem","malo","1227","30","pohištvo/oprema","slab"
"361","360","61","moški","2","drugo",NA," 631","18","izobrazba","dober"
"362","361","37","moški","3","lastno",NA,"1733","12","radio/TV","dober"
"363","362","36","ženska","2","lastno","malo","1145","12","avto","dober"
"364","363","21","moški","2","najem","malo"," 900"," 6","pohištvo/oprema","dober"
"365","364","25","moški","0","lastno","malo","1261","18","pohištvo/oprema","slab"
"366","365","36","moški","2","lastno","malo"," 786","12","posel","dober"
"367","366","27","moški","2","lastno","malo","1963","18","avto","dober"
"368","367","22","ženska","2","najem","malo","1861","18","pohištvo/oprema","dober"
"369","368","42","moški","2","lastno","malo","1757","36","pohištvo/oprema","slab"
"370","369","40","ženska","2","najem","malo","1530","18","pohištvo/oprema","dober"
"371","370","36","moški","2","lastno",NA,"1570","36","avto","dober"
"372","371","33","moški","2","lastno","malo","3095","18","radio/TV","dober"
"373","372","23","ženska","2","najem","malo","1094","10","pohištvo/oprema","dober"
"374","373","63","moški","3","drugo",NA,"7015","60","avto","dober"
"375","374","60","ženska","3","drugo","srednje","7538","60","drugo","slab"
"376","375","37","ženska","2","najem","malo","3919","48","posel","slab"
"377","376","34","moški","2","lastno","malo","1183","18","radio/TV","dober"
"378","377","36","moški","2","drugo",NA," 431"," 7","radio/TV","dober"
"379","378","57","moški","3","drugo","malo","7302","36","avto","slab"
"380","379","52","ženska","1","lastno","srednje"," 184"," 6","avto","dober"
"381","380","39","moški","2","lastno",NA,"1128","20","pohištvo/oprema","dober"
"382","381","38","ženska","3","drugo","malo","6617","18","avto","slab"
"383","382","25","ženska","2","najem",NA," 654","22","avto","dober"
"384","383","26","moški","2","lastno","malo"," 678","12","avto","dober"
"385","384","26","moški","1","lastno","srednje","2178","30","posel","dober"
"386","385","25","ženska","2","lastno","malo","1141","18","radio/TV","dober"
"387","386","21","ženska","2","najem",NA," 574","18","radio/TV","dober"
"388","387","40","moški","3","lastno","malo","3760","18","pohištvo/oprema","dober"
"389","388","27","moški","2","lastno","zelo veliko","1186","15","posel","dober"
"390","389","27","ženska","2","lastno","malo"," 738"," 9","posel","dober"
"391","390","30","moški","3","lastno","malo"," 928","18","avto","dober"
"392","391","19","ženska","1","najem","veliko"," 501","12","pohištvo/oprema","dober"
