igralec,ekipa,drzava,totalPasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,assists
Angus Gunn,southampton,United Kingdom,289,35.29,74,28.35,0
Marcus Bettinelli,fulham,United Kingdom,211,60.66,66,44.9,0
Asmir Begović,bournemouth,United Kingdom,530,60.75,137,39.94,0
Ben Hamer,huddersfield-town,United Kingdom,191,44.5,61,36.53,0
Gorka Iraizoz,girona,Spain,187,60.43,56,44.09,0
Jan Oblak,atletico-madrid,Spain,759,49.41,230,37.58,0
Sergio Asenjo,villarreal,Spain,686,60.35,206,43.55,0
Bono,girona,Spain,849,62.66,226,42.01,0
David Soria,getafe,Spain,1037,40.41,372,37.65,0
Keylor Navas,real-madrid,Spain,236,75,40,40.82,0
Neto,valencia,Spain,691,48.63,180,33.9,0
Andrés Fernández,villarreal,Spain,171,69.01,53,50.48,0
Oier Olazábal,levante,Spain,478,54.39,147,41.18,0
Marc-André ter Stegen,barcelona,Spain,886,83.18,185,57.1,0
Aitor,levante,Spain,374,52.94,102,36.96,0
Fernando Pacheco,deportivo-alaves,Spain,956,52.41,324,41.7,0
Roberto Santamaria,huesca,Spain,546,50,224,45.16,0
Diego López,espanyol,Spain,1068,65.92,264,42.31,0
Jordi Masip,real-valladolid,Spain,983,44.46,286,34.5,0
Thibaut Courtois,real-madrid,Spain,672,72.47,105,36.71,0
Pau López,real-betis,Spain,1071,79.08,157,43.37,0
Gerónimo Rulli,real-sociedad,Spain,983,68.87,198,40,0
Tomáš Vaclík,sevilla,Spain,813,52.03,189,32.87,0
Iván Cuéllar,leganes,Spain,984,51.73,357,43.17,0
Rubén Blanco,celta-vigo,Spain,701,60.06,184,39.74,0
Stole Dimitrievski,rayo-vallecano,Spain,525,58.29,146,40.78,0
Miguel Ángel Moyà,real-sociedad,Spain,326,78.83,98,59.04,0
Marko Dmitrović,eibar,Spain,692,43.5,211,35.11,0
Alberto Garcia,rayo-vallecano,Spain,471,65.39,135,46.08,0
Iago Herrerín,athletic-bilbao,Spain,887,52.2,336,44.27,1
Sergio Álvarez,celta-vigo,Spain,411,62.53,102,40,0
Asier Riesgo,eibar,Spain,347,51.87,132,44.3,0
Unai Simon,athletic-bilbao,Spain,155,58.71,42,39.62,0
Aleksandar Jovanović,huesca,Spain,309,43.69,84,32.81,0
Axel Werner,huesca,Spain,162,43.21,44,32.35,0
Péter Gulácsi,rb-leipzig,Germany,896,58.93,262,41.65,0
Yann Sommer,borussia-mgladbach,Germany,1412,77.41,249,44.46,0
Michael Esser,hannover-96,Germany,1094,67.92,329,48.67,0
Robin Zentner,1-fsv-mainz-05,Germany,285,54.39,51,28.18,0
Andreas Luthe,augsburg,Germany,425,64.71,93,38.43,0
Kevin Trapp,eintracht-frankfurt,Germany,1100,63.64,374,48.51,0
Koen Casteels,wolfsburg,Germany,1033,76.86,249,51.34,0
Oliver Baumann,1899-hoffenheim,Germany,1093,76.4,199,44.12,1
Jiří Pavlenka,werder-bremen,Germany,1069,70.07,302,48.95,0
Pavao Pervan,wolfsburg,Germany,307,74.59,94,54.65,0
Roman Bürki,borussia-dortmund,Germany,903,65.78,173,36.27,0
Ralf Fährmann,fc-schalke-04,Germany,443,69.3,131,49.25,0
Christian Mathenia,1-fc-nurnberg,Germany,791,59.92,198,38.82,0
Alexander Schwolow,freiburg,Germany,1128,62.77,317,43.37,1
Rune Jarstein,hertha-bsc,Germany,1056,57.39,369,45.17,0
Lukáš Hrádecký,bayer-04-leverkusen,Germany,1191,76.57,262,49.16,0
Alexander Nübel,fc-schalke-04,Germany,463,63.71,121,41.87,0
Ron-Robert Zieler,vfb-stuttgart,Germany,1087,56.03,301,38.64,0
Michael Rensing,fortuna-dusseldorf,Germany,859,59.02,251,41.69,0
Florian Müller,1-fsv-mainz-05,Germany,729,60.77,186,39.74,0
Sven Ulreich,bayern-munchen,Germany,199,80.4,28,43.08,0
Manuel Neuer,bayern-munchen,Germany,808,81.56,144,49.83,0
Gregor Kobel,augsburg,Germany,494,65.99,101,37.83,0
Fabian Bredlow,1-fc-nurnberg,Germany,425,69.18,67,33.84,0
